city,state,latitude,longitude,region,date_utc,time_utc,year,month,day,temp,weather_condition,humidity_percent,visibility_Feet,wind_speed_MPH,pressure_hPa
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-01,N/A,1945,2,1,24,,52,36960,28,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-02,N/A,1945,2,2,28,,54,26400,24,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-03,N/A,1945,2,3,28,,54,31680,19,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-04,N/A,1945,2,4,28,Rain-Snow,61,21120,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-05,N/A,1945,2,5,36,,68,26400,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-06,N/A,1945,2,6,32,,65,26400,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-07,N/A,1945,2,7,34,,66,21120,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-08,N/A,1945,2,8,36,Fog,87,15840,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-09,N/A,1945,2,9,39,,70,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-10,N/A,1945,2,10,42,,70,26400,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-11,N/A,1945,2,11,44,,53,31680,16,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-12,N/A,1945,2,12,40,,59,31680,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-13,N/A,1945,2,13,37,Fog-Rain-Snow,88,21120,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-14,N/A,1945,2,14,38,Fog-Rain,77,21120,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-15,N/A,1945,2,15,40,,77,26400,5,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-16,N/A,1945,2,16,50,Rain,56,31680,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-17,N/A,1945,2,17,38,Rain-Snow,73,21120,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-18,N/A,1945,2,18,32,,61,31680,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-19,N/A,1945,2,19,24,,51,31680,16,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-20,N/A,1945,2,20,29,Rain-Snow,66,26400,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-21,N/A,1945,2,21,34,Fog-Rain-Snow,90,21120,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-22,N/A,1945,2,22,44,Fog-Rain,95,15840,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-23,N/A,1945,2,23,46,Rain,60,31680,17,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-24,N/A,1945,2,24,44,,48,31680,17,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-25,N/A,1945,2,25,48,,52,36960,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-26,N/A,1945,2,26,48,Fog-Rain,83,26400,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-27,N/A,1945,2,27,48,Rain,61,31680,23,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-02-28,N/A,1945,2,28,31,Rain,75,21120,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-01,N/A,1945,3,1,42,,59,31680,19,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-02,N/A,1945,3,2,44,Fog-Rain,76,21120,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-03,N/A,1945,3,3,54,Fog-Rain,77,26400,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-04,N/A,1945,3,4,46,,62,36960,15,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-05,N/A,1945,3,5,38,Rain,80,26400,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-06,N/A,1945,3,6,46,Fog-Rain,95,15840,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-07,N/A,1945,3,7,44,Rain,79,21120,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-08,N/A,1945,3,8,40,,53,31680,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-09,N/A,1945,3,9,44,,51,21120,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-10,N/A,1945,3,10,45,Rain,66,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-11,N/A,1945,3,11,42,,60,36960,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-12,N/A,1945,3,12,42,Rain,76,31680,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-13,N/A,1945,3,13,48,,54,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-14,N/A,1945,3,14,48,,56,31680,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-15,N/A,1945,3,15,57,Fog-Rain,82,26400,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-16,N/A,1945,3,16,66,Rain,70,21120,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-17,N/A,1945,3,17,68,,69,26400,5,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-18,N/A,1945,3,18,63,,45,36960,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-19,N/A,1945,3,19,61,,71,31680,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-20,N/A,1945,3,20,68,,66,26400,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-21,N/A,1945,3,21,63,Fog-Rain,80,26400,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-22,N/A,1945,3,22,45,Fog-Rain,74,31680,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-23,N/A,1945,3,23,55,,49,31680,15,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-24,N/A,1945,3,24,60,,47,26400,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-25,N/A,1945,3,25,56,,46,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-26,N/A,1945,3,26,55,,63,36960,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-27,N/A,1945,3,27,66,Rain,69,31680,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-28,N/A,1945,3,28,66,,67,21120,5,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-29,N/A,1945,3,29,71,Rain,64,26400,3,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-30,N/A,1945,3,30,70,Rain,62,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-03-31,N/A,1945,3,31,68,Rain,65,36960,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-01,N/A,1945,4,1,61,,54,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-02,N/A,1945,4,2,62,Rain,82,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-03,N/A,1945,4,3,68,,68,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-04,N/A,1945,4,4,60,,80,36960,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-05,N/A,1945,4,5,54,Rain,52,31680,17,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-06,N/A,1945,4,6,48,,41,36960,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-07,N/A,1945,4,7,50,,51,36960,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-08,N/A,1945,4,8,58,Fog,69,31680,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-09,N/A,1945,4,9,62,,59,31680,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-10,N/A,1945,4,10,62,,63,31680,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-11,N/A,1945,4,11,60,Fog,86,21120,4,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-12,N/A,1945,4,12,66,Fog,84,36960,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-13,N/A,1945,4,13,69,Fog,79,26400,4,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-14,N/A,1945,4,14,72,Rain,76,26400,5,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-15,N/A,1945,4,15,58,Rain,62,36960,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-16,N/A,1945,4,16,51,Fog-Rain-Thunderstorm,91,26400,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-17,N/A,1945,4,17,63,Fog-Rain,92,26400,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-18,N/A,1945,4,18,61,Fog,50,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-19,N/A,1945,4,19,52,,38,31680,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-20,N/A,1945,4,20,54,Rain,71,31680,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-21,N/A,1945,4,21,60,Rain,61,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-22,N/A,1945,4,22,52,,45,36960,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-23,N/A,1945,4,23,51,,52,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-24,N/A,1945,4,24,56,Fog-Rain,87,26400,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-25,N/A,1945,4,25,60,Fog-Rain,95,15840,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-26,N/A,1945,4,26,65,Rain-Thunderstorm,84,26400,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-27,N/A,1945,4,27,52,,49,31680,24,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-28,N/A,1945,4,28,51,,49,36960,16,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-29,N/A,1945,4,29,52,,62,36960,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-04-30,N/A,1945,4,30,54,,58,31680,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-01,N/A,1945,5,1,50,Rain,58,31680,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-02,N/A,1945,5,2,52,,52,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-03,N/A,1945,5,3,50,Fog-Rain,89,26400,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-04,N/A,1945,5,4,55,Fog-Rain-Thunderstorm,82,21120,5,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-05,N/A,1945,5,5,53,Rain,66,26400,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-06,N/A,1945,5,6,53,,62,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-07,N/A,1945,5,7,62,,57,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-08,N/A,1945,5,8,64,Fog-Rain,65,31680,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-09,N/A,1945,5,9,60,,45,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-10,N/A,1945,5,10,55,Rain,78,26400,15,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-11,N/A,1945,5,11,52,,49,31680,24,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-12,N/A,1945,5,12,62,,62,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-13,N/A,1945,5,13,68,Rain,68,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-14,N/A,1945,5,14,65,,61,31680,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-15,N/A,1945,5,15,72,Fog,78,31680,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-16,N/A,1945,5,16,74,,75,26400,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-17,N/A,1945,5,17,72,Rain,80,36960,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-18,N/A,1945,5,18,70,Rain-Thunderstorm,75,31680,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-19,N/A,1945,5,19,62,,53,31680,22,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-20,N/A,1945,5,20,62,,47,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-21,N/A,1945,5,21,68,,62,31680,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-22,N/A,1945,5,22,76,Rain-Thunderstorm,65,36960,15,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-23,N/A,1945,5,23,66,,42,31680,17,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-24,N/A,1945,5,24,62,,43,36960,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-25,N/A,1945,5,25,61,,52,31680,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-26,N/A,1945,5,26,62,Rain,84,26400,14,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-27,N/A,1945,5,27,62,Fog-Rain,92,21120,15,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-28,N/A,1945,5,28,70,Rain-Thunderstorm,85,31680,15,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-29,N/A,1945,5,29,72,,64,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-30,N/A,1945,5,30,68,,43,31680,17,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-05-31,N/A,1945,5,31,69,,36,31680,15,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-01,N/A,1945,6,1,61,,48,36960,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-02,N/A,1945,6,2,64,Rain-Thunderstorm,71,26400,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-03,N/A,1945,6,3,69,Rain,66,31680,15,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-04,N/A,1945,6,4,59,,58,31680,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-05,N/A,1945,6,5,57,,53,31680,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-06,N/A,1945,6,6,60,,51,31680,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-07,N/A,1945,6,7,62,,56,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-08,N/A,1945,6,8,66,,66,36960,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-09,N/A,1945,6,9,64,Rain,74,31680,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-10,N/A,1945,6,10,70,Fog-Rain-Thunderstorm,87,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-11,N/A,1945,6,11,78,Rain-Thunderstorm,76,26400,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-12,N/A,1945,6,12,78,Rain,66,36960,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-13,N/A,1945,6,13,78,Rain,74,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-14,N/A,1945,6,14,83,,65,26400,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-15,N/A,1945,6,15,85,,66,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-16,N/A,1945,6,16,85,,64,31680,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-17,N/A,1945,6,17,83,Rain-Thunderstorm,65,36960,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-18,N/A,1945,6,18,82,Rain-Thunderstorm,70,36960,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-19,N/A,1945,6,19,74,Rain-Thunderstorm,86,31680,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-20,N/A,1945,6,20,76,Fog-Rain,75,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-21,N/A,1945,6,21,76,Rain-Thunderstorm,76,31680,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-22,N/A,1945,6,22,73,,67,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-23,N/A,1945,6,23,79,,54,31680,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-24,N/A,1945,6,24,82,,56,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-25,N/A,1945,6,25,80,,72,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-26,N/A,1945,6,26,78,Rain,72,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-27,N/A,1945,6,27,76,,53,31680,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-28,N/A,1945,6,28,80,,70,26400,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-29,N/A,1945,6,29,84,Fog,69,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-06-30,N/A,1945,6,30,89,,63,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-01,N/A,1945,7,1,88,Rain-Thunderstorm,60,47520,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-02,N/A,1945,7,2,82,Fog-Rain-Thunderstorm,78,36960,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-03,N/A,1945,7,3,74,,58,58080,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-04,N/A,1945,7,4,73,,62,52800,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-05,N/A,1945,7,5,78,Rain-Thunderstorm,81,47520,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-06,N/A,1945,7,6,80,,74,42240,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-07,N/A,1945,7,7,80,,57,47520,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-08,N/A,1945,7,8,80,,54,52800,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-09,N/A,1945,7,9,78,Rain-Thunderstorm,76,47520,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-10,N/A,1945,7,10,78,Thunderstorm,72,47520,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-11,N/A,1945,7,11,72,,40,68640,14,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-12,N/A,1945,7,12,68,,57,47520,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-13,N/A,1945,7,13,76,,60,73920,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-14,N/A,1945,7,14,76,Fog-Rain,86,47520,14,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-15,N/A,1945,7,15,74,Rain,90,52800,21,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-16,N/A,1945,7,16,74,,66,47520,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-17,N/A,1945,7,17,69,Fog-Rain,93,31680,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-18,N/A,1945,7,18,70,Rain-Thunderstorm,92,42240,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-19,N/A,1945,7,19,74,Fog-Rain-Thunderstorm,92,26400,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-20,N/A,1945,7,20,79,Fog-Rain,81,47520,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-21,N/A,1945,7,21,81,,72,42240,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-22,N/A,1945,7,22,77,Rain-Thunderstorm,87,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-23,N/A,1945,7,23,77,,81,36960,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-24,N/A,1945,7,24,78,Fog-Rain-Thunderstorm,84,36960,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-25,N/A,1945,7,25,78,Fog,81,36960,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-26,N/A,1945,7,26,82,Rain-Thunderstorm,81,31680,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-27,N/A,1945,7,27,78,Rain-Thunderstorm,80,31680,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-28,N/A,1945,7,28,78,Rain-Thunderstorm,87,26400,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-29,N/A,1945,7,29,76,Fog-Rain,91,42240,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-30,N/A,1945,7,30,78,Rain-Thunderstorm,87,21120,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-07-31,N/A,1945,7,31,77,Fog-Rain-Thunderstorm,87,26400,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-01,N/A,1945,8,1,78,Rain-Thunderstorm,86,31680,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-02,N/A,1945,8,2,78,,75,31680,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-03,N/A,1945,8,3,82,Thunderstorm,77,26400,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-04,N/A,1945,8,4,74,,59,73920,12,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-05,N/A,1945,8,5,72,,59,63360,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-06,N/A,1945,8,6,76,Rain,80,31680,14,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-07,N/A,1945,8,7,79,,67,42240,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-08,N/A,1945,8,8,71,,68,52800,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-09,N/A,1945,8,9,72,Rain,73,42240,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-10,N/A,1945,8,10,74,,68,31680,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-11,N/A,1945,8,11,77,,69,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-12,N/A,1945,8,12,76,,69,52800,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-13,N/A,1945,8,13,80,,74,58080,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-14,N/A,1945,8,14,80,Rain,82,68640,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-15,N/A,1945,8,15,80,,75,52800,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-16,N/A,1945,8,16,68,,62,79200,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-17,N/A,1945,8,17,71,,67,47520,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-08-18,N/A,1945,8,18,74,,68,42240,10,N/A
